"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz";;;
2;"C35,C38,C27,C21,C46,C34";"C_0402_1005Metric";6;"100n/35V";;;
3;"C31,C29,C43,C25";"C_0805_2012Metric";4;"10u/35V";;;
4;"C41,C36,C45,C37";"C_0402_1005Metric";4;"1n/50V";;;
5;"R22,R21,R5,R4,R14,R15,R12,R8,R1,R18,R19";"R_0402_1005Metric";11;"10k";;;
6;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
7;"J12";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"E-STOP1";;;
8;"C3,C6,C7,C23,C9,C14,C40,C17,C10,C8,C47,C19,C12,C4";"C_0402_1005Metric";14;"100n";;;
9;"R25";"R_0402_1005Metric";1;"1k";;;
10;"R29,R23,R31";"R_0402_1005Metric";3;"100k";;;
11;"U4";"SOT-23-5";1;"LP5907MFX-3.3";;;
12;"R20,R17,R24";"R_0402_1005Metric";3;"120";;;
13;"C18,C13";"C_0402_1005Metric";2;"1u";;;
14;"U6";"Semtech-QFN16-0-0-0";1;"TS30041-M050QFNR";;;
15;"C1";"CP_EIA-3216-18_Kemet-A";1;"10u";;;
16;"D7";"LED_0402_1005Metric";1;"LED0";;;
17;"C2,C5";"C_0402_1005Metric";2;"12p";;;
18;"R9,R6,R2";"R_0402_1005Metric";3;"150";;;
19;"D6";"LED_0402_1005Metric";1;"3V3";;;
20;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"HEF";;;
21;"U3";"SOT-23-5";1;"74LVC1G17";;;
22;"Q4";"Vishay_PowerPAK_SC70-6L_Single";1;"SiA449DJ";;;
23;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
24;"R10,R13,R7,R3";"R_0402_1005Metric";4;"2.2k";;;
25;"C11,C28";"C_0402_1005Metric";2;"4.7u";;;
26;"J7";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"NEOPIXEL";;;
27;"D9";"LED_0402_1005Metric";1;"DIAG";;;
28;"SW1";"SW_SPST_B3U-1000P";1;"RST";;;
29;"R30,R28";"R_0805_2012Metric";2;"0.5Ω, 1%, 0.5W, 1210";;;
30;"U5";"TMC2209-LA";1;"TMC2209-LA";;;
31;"J9";"PinHeader_1x05_P1.27mm_Vertical";1;"DBG";;;
32;"R27";"R_0402_1005Metric";1;"120R";;;
33;"C30,C24";"C_1206_3216Metric";2;"22u";;;
34;"C22";"C_0402_1005Metric";1;"22n";;;
35;"C15";"C_0402_1005Metric";1;"2u2";;;
36;"J11";"Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal";1;"CAN";;;
37;"J6";"Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal";1;"H0";;;
38;"C26";"C_0402_1005Metric";1;"22n/50V";;;
39;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"TH0";;;
40;"FB2";"R_0603_1608Metric";1;"GZ1608D601TF";;;
41;"J14";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PROBE";;;
42;"C20";"C_1206_3216Metric";1;"10u/35V";;;
43;"Q3";"AON7418";1;"AON7418";;;
44;"L1";"L_Coilcraft_XxL4020";1;"4.7u";;;
45;"D8";"D_SOD-323";1;"15V";;;
46;"D2";"LED_0402_1005Metric";1;"HEF";;;
47;"D4";"LED_0402_1005Metric";1;"24V";;;
48;"U1";"ADXL345BCCZ-RL7";1;"ADXL345BCCZ-RL7";;;
49;"D1";"LED_0402_1005Metric";1;"PCF";;;
50;"J13";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"E-STOP2";;;
51;"D3";"LED_0402_1005Metric";1;"H0";;;
52;"F1";"Fuse_0805_2012Metric";1;"3.5A";;;
53;"D5";"LED_0402_1005Metric";1;"5V";;;
54;"Q2,Q1";"SOT-23";2;"AO3400A";;;
55;"R16";"R_0402_1005Metric";1;"300";;;
56;"U8";"TSOT-23-8";1;"TCAN330";;;
57;"SW2";"SW_SPST_B3U-1000P";1;"BOOT0";;;
58;"R11";"R_0402_1005Metric";1;"2.2k 0.1%";;;
59;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";1;"PCF";;;
60;"J8";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"STEPPER";;;
61;"TP2";"TestPoint_Pad_D1.0mm";1;"3V3";;;
62;"TP3";"TestPoint_Pad_D1.0mm";1;"24V";;;
63;"TP4";"TestPoint_Pad_D1.0mm";1;"GND";;;
64;"J2,J1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";2;"PCF";;;
65;"R26";"R_0402_1005Metric";1;"1.5k";;;
66;"R33,R32";"R_0402_1005Metric";2;"27";;;
67;"JP2";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";1;"HEF";;;
68;"J10";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
69;"U7";"SOT-23-6";1;"USBLC6-2SC6";;;
