Designator,Mid X,Mid Y,Layer,Rotation
C1,112.15,-80.65,T,90.0
C10,111.700001,-92.679999,T,270.0
C11,112.59,-92.67,T,270.0
C12,114.3,-85.45,T,0.0
C13,114.3,-84.55,T,0.0
C14,111.14,-100.01,T,180.0
C15,114.699999,-75.450001,T,270.0
C17,116.8,-84.6,T,270.0
C18,114.7,-77.55,T,90.0
C19,127.55,-84.62,T,270.0
C2,115.65,-91.3,T,0.0
C20,101.86,-71.6,T,270.0
C21,105.3,-69.85,T,0.0
C22,105.34,-75.01,T,180.0
C23,127.5,-92.94,T,270.0
C24,112.65,-72.3,T,90.0
C25,97.00288,-72.52128,T,157.5
C26,97.555753,-81.247066,T,337.5
C27,99.218736,-81.935895,T,337.5
C28,100.944326,-81.297669,T,67.5
C29,97.67258,-70.904491,T,157.5
C3,110.7,-81.92,T,90.0
C30,114.7,-72.3,T,90.0
C31,93.577864,-80.790003,T,157.5
C34,97.152103,-73.990202,T,157.5
C35,94.132524,-75.661906,T,157.5
C36,90.948381,-73.747676,T,157.5
C37,91.713753,-71.899918,T,157.5
C38,94.695007,-79.791509,T,157.5
C4,104.4,-81.9,T,90.0
C40,105.429999,-77.05,T,270.0
C41,90.183023,-75.595437,T,157.5
C43,92.927302,-82.3606,T,157.5
C45,89.417651,-77.443197,T,157.5
C46,93.788108,-76.493397,T,157.5
C47,102.425,-76.1,T,337.5
C5,115.250001,-86.399999,T,180.0
C6,113.49,-92.670001,T,270.0
C7,105.575,-100.04,T,180.0
C8,104.140001,-83.5,T,180.0
C9,103.8,-92.15,T,270.0
D1,129.35,-86.9,T,0.0
D2,120.385001,-71.075,T,180.0
D3,98.93,-91.48,T,90.0
D4,100.3,-70.43,T,90.0
D5,119.587414,-69.043765,T,236.0
D6,118.612585,-68.381233,T,56.0
D7,108.15,-93.6,T,0.0
D8,100.55,-67.9,T,90.0
D9,102.667535,-78.508046,T,337.5
F1,105.55,-67.6,T,0.0
FB2,113.8,-82.7,T,90.0
J1,131.49,-90.62,B,67.5
J10,118.55,-69.75,B,326.0
J11,108.35,-65.485,T,0.0
J12,120.25,-79.4,T,270.0
J13,125.15,-79.4,T,270.0
J14,125.15,-87.7,T,270.0
J2,87.459183,-88.786597,B,292.5
J3,120.175,-74.5,T,180.0
J4,115.4,-95.75,T,270.0
J6,97.325,-86.475,T,112.5
J7,120.25,-87.7,T,270.0
J8,89.918754,-71.169177,B,247.5
J9,109.4,-95.2,T,270.0
L1,109.235,-72.3,T,0.0
Q1,129.66,-91.93,T,90.0
Q2,123.925,-73.6,T,90.0
Q3,101.3,-92.1,T,90.0
Q4,102.75,-68.15,T,270.0
R1,129.66,-94.78,T,90.0
R10,97.99,-91.48,T,270.0
R11,112.06,-96.58,T,270.0
R12,112.06,-98.43,T,270.0
R13,100.31,-72.75,T,270.0
R14,116.8,-80.9,T,90.0
R15,116.8,-82.75,T,270.0
R16,120.375,-69.575,T,56.0
R17,117.825,-67.85,T,56.0
R18,127.55,-80.919999,T,90.0
R19,127.55,-82.77,T,270.0
R2,128.71,-94.78,T,270.0
R20,106.3,-93.6,T,180.0
R21,127.5,-89.240001,T,90.0
R22,127.5,-91.1,T,90.0
R23,97.211337,-82.078556,T,157.5
R24,102.317535,-79.35805,T,157.5
R25,102.58,-88.05,T,270.0
R26,115.445,-79.45,B,90.0
R27,110.369999,-77.050001,T,90.0
R28,95.045755,-74.633073,T,337.5
R29,107.425,-100.04,T,0.0
R3,131.2175,-86.9,T,180.0
R30,93.706365,-77.86665,T,337.5
R31,99.15,-67.35,T,90.0
R32,114.5,-79.45,B,90.0
R33,112.6,-79.45,B,90.0
R34,108.6,-93.0,B,90.0
R35,107.6,-93.0,B,90.0
R4,109.3,-100.04,T,180.0
R5,125.425,-75.9,T,180.0
R6,123.475,-75.9,T,180.0
R7,118.535,-71.075,T,0.0
R8,101.75,-94.85,T,0.0
R9,104.15,-93.6,T,0.0
SW1,103.1,-97.89,T,0.0
SW2,107.8,-97.89,T,0.0
U1,107.55,-80.7532,T,90.0
U2,108.2,-88.05,T,180.0
U3,119.42,-96.99,T,90.0
U4,112.599998,-76.499999,T,270.0
U5,98.625904,-78.010203,T,67.5
U6,105.085,-72.3075,T,270.0
U7,113.545,-76.475,B,90.0
U8,107.85,-77.05,T,0.0
Y1,114.900002,-88.799998,T,90.0
